SRR7239362_1_1.fastq.res,SRR7239362_2_1.fastq.res,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
3.1399999999999997,1.19,Bacteria,unk_k,Candidatus Absconditabacteria,unk_c,unk_o,unk_f,unk_g,
0.54,1.89,Bacteria,unk_k,Candidatus Absconditabacteria,unk_c,unk_o,unk_f,unk_g,uncultured candidate division SR1 bacterium
1.1,2.0700000000000003,Bacteria,unk_k,Candidatus Saccharibacteria,unk_c,unk_o,unk_f,,
0.83,1.5899999999999999,Bacteria,unk_k,Candidatus Saccharibacteria,unk_c,unk_o,unk_f,unk_g,
0.41,0.0,Bacteria,unk_k,Candidatus Saccharibacteria,unk_c,unk_o,unk_f,unk_g,TM7 phylum sp. oral clone 13-10
2.51,1.7,Bacteria,unk_k,Candidatus Saccharibacteria,unk_c,unk_o,unk_f,unk_g,uncultured Candidatus Saccharibacteria bacterium
0.0,0.76,Bacteria,unk_k,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,
0.85,0.0,Bacteria,unk_k,Chloroflexi,Chloroflexia,Chloroflexales,,,
0.0,2.11,Bacteria,unk_k,Cyanobacteria,unk_c,Nostocales,Nostocaceae,,
2.42,0.0,Bacteria,unk_k,Cyanobacteria,unk_c,Nostocales,Nostocaceae,Nostoc,
0.58,0.0,Bacteria,unk_k,Cyanobacteria,unk_c,Oscillatoriales,,,
0.0,2.53,Bacteria,unk_k,Cyanobacteria,unk_c,Oscillatoriales,Oscillatoriaceae,,
2.32,0.0,Bacteria,unk_k,Cyanobacteria,unk_c,Oscillatoriales,Oscillatoriaceae,Oscillatoria,
0.27,0.31,Bacteria,unk_k,Cyanobacteria,unk_c,Synechococcales,,,
0.36,0.36,Bacteria,unk_k,Cyanobacteria,unk_c,unk_o,unk_f,unk_g,uncultured cyanobacterium
0.71,0.7,Bacteria,unk_k,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,
0.0,0.59,Bacteria,unk_k,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,,
0.42,0.0,Bacteria,unk_k,Elusimicrobia,Elusimicrobia,unk_o,,,
62.02,12.95,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus amyloliquefaciens
1.64,1.46,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus pumilus
42.45,38.36,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. (in: Bacteria)
4.83,0.0,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. A06
0.0,0.37,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. AV
21.6,0.61,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. E2B(2011)
5.7,0.0,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. LIPOA/UEL_86
0.0,39.76,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. RBR-12
310.12,398.34000000000003,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis
4.29,0.0,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,
1.0,1.02,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,uncultured Bacillus sp.
0.8300000000000001,0.44,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Bacillaceae,,
0.87,0.0,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Bacillaceae,Oceanobacillus,Oceanobacillus sp.
0.0,0.35,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Bacillaceae,unk_g,uncultured Bacillaceae bacterium
0.96,0.52,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,,,
0.66,0.0,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Planococcaceae,Planococcus,
0.0,1.32,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Planococcaceae,Planococcus,uncultured Planococcus sp.
4.95,0.0,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Sporolactobacillaceae,Sporolactobacillus,Sporolactobacillus putidus
3.1,0.0,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,,
0.0,0.96,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,
0.0,0.52,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
0.0,0.53,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,unk_f,unk_g,
1.19,1.76,Bacteria,unk_k,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis
0.0,0.63,Bacteria,unk_k,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,
4.72,7.23,Bacteria,unk_k,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,,
0.0,1.07,Bacteria,unk_k,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,uncultured Lactobacillus sp.
2.4,2.21,Bacteria,unk_k,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,,
0.0,0.6,Bacteria,unk_k,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,uncultured Pediococcus sp.
